지점,지점명,일시,강수량(mm),강수량 QC플래그,적설(cm),3시간신적설(cm),현상번호(국내식)
108,서울,2024-01-07 20:00,,,1.5,,
108,서울,2024-01-07 21:00,,,1.5,,
108,서울,2024-01-07 22:00,,,1.5,,
108,서울,2024-01-07 23:00,,,1.5,,
108,서울,2024-01-08 00:00,,,1.5,,
108,서울,2024-01-08 01:00,,,1.5,,
108,서울,2024-01-08 02:00,,,1.5,,
108,서울,2024-01-08 03:00,,,1.5,,
108,서울,2024-01-08 04:00,,,1.5,,
108,서울,2024-01-08 05:00,,,1.5,,
108,서울,2024-01-08 06:00,,,1.5,,
108,서울,2024-01-08 07:00,,,1.5,,
108,서울,2024-01-08 08:00,,,1.5,,
108,서울,2024-01-08 09:00,,,1.5,,
108,서울,2024-01-08 10:00,,,1.4,,
108,서울,2024-01-08 11:00,,,1.4,,
108,서울,2024-01-08 12:00,,,1.2,,
108,서울,2024-01-08 13:00,,,1,,
108,서울,2024-01-08 14:00,,,.6,,
108,서울,2024-01-08 15:00,,,.4,,
108,서울,2024-01-08 16:00,,,.3,,
108,서울,2024-01-08 17:00,,,.3,,
108,서울,2024-01-08 18:00,,,.3,,
108,서울,2024-01-08 19:00,,,.3,,
108,서울,2024-01-08 20:00,,,.3,,
108,서울,2024-01-08 21:00,,,.3,,
108,서울,2024-01-08 22:00,,,.3,,
108,서울,2024-01-08 23:00,,,.3,,
108,서울,2024-01-09 00:00,,,.3,,
108,서울,2024-01-09 01:00,,,.3,,
108,서울,2024-01-09 02:00,,,.3,,
108,서울,2024-01-09 03:00,,,.3,,
108,서울,2024-01-09 04:00,,,.3,,
108,서울,2024-01-09 05:00,,,.3,,
108,서울,2024-01-09 06:00,0,,.3,,05
108,서울,2024-01-09 07:00,,9,.3,,05
108,서울,2024-01-09 08:00,,9,.3,,05
108,서울,2024-01-09 09:00,.4,,.6,.3,05
108,서울,2024-01-09 10:00,,9,1,,05
108,서울,2024-01-09 11:00,,9,1.2,,05
108,서울,2024-01-09 12:00,.2,,1.4,.8,05
108,서울,2024-01-09 13:00,,9,1.8,,05
108,서울,2024-01-09 14:00,,9,2.7,,05
108,서울,2024-01-09 15:00,.7,,2.8,1.4,05
108,서울,2024-01-09 16:00,,9,3,,05
108,서울,2024-01-09 17:00,,9,3.1,,05
108,서울,2024-01-09 18:00,.3,,3.1,.3,1905
108,서울,2024-01-09 19:00,,9,3.1,,1905
108,서울,2024-01-09 20:00,,9,3.1,,19
108,서울,2024-01-09 21:00,0,,3.1,0,19
108,서울,2024-01-09 22:00,,9,3.1,,19
108,서울,2024-01-09 23:00,,9,3,,19
108,서울,2024-01-10 00:00,,9,3,,19
108,서울,2024-01-10 01:00,,,3,,19
108,서울,2024-01-10 02:00,,,3,,19
108,서울,2024-01-10 03:00,,,3,,19
108,서울,2024-01-10 04:00,,,3,,19
108,서울,2024-01-10 05:00,,,3,,19
108,서울,2024-01-10 06:00,,,3,,19
108,서울,2024-01-10 07:00,,,3,,19
108,서울,2024-01-10 08:00,,,2.9,,19
108,서울,2024-01-10 09:00,,,2.9,,19
108,서울,2024-01-10 10:00,,,2.7,,19
108,서울,2024-01-10 11:00,,,2.6,,19
108,서울,2024-01-10 12:00,,,2.5,,19
108,서울,2024-01-10 13:00,,,2.3,,19
108,서울,2024-01-10 14:00,,,2.3,,19
108,서울,2024-01-10 15:00,,,2.2,,19
108,서울,2024-01-10 16:00,,,2,,4019
108,서울,2024-01-10 17:00,,,2,,40
108,서울,2024-01-10 18:00,,,2,,40
108,서울,2024-01-10 19:00,,,2,,40
108,서울,2024-01-10 20:00,,,2,,4019
108,서울,2024-01-10 21:00,,,2,,19
108,서울,2024-01-10 22:00,,,2,,19
108,서울,2024-01-10 23:00,,,2,,19
108,서울,2024-01-11 00:00,,,2,,19
108,서울,2024-01-11 01:00,,,2,,19
108,서울,2024-01-11 02:00,,,2,,19
108,서울,2024-01-11 03:00,,,2,,19
108,서울,2024-01-11 04:00,,,2,,19
108,서울,2024-01-11 05:00,,,2,,19
108,서울,2024-01-11 06:00,,,2,,19
108,서울,2024-01-11 07:00,,,2,,19
108,서울,2024-01-11 08:00,,,2,,19
108,서울,2024-01-11 09:00,,,2,,19
108,서울,2024-01-11 10:00,,,2,,19
108,서울,2024-01-11 11:00,,,2,,19
108,서울,2024-01-11 12:00,,,1.9,,19
108,서울,2024-01-11 13:00,,,1,,19
108,서울,2024-01-11 14:00,,,.9,,19
108,서울,2024-01-11 15:00,,,.4,,19
108,서울,2024-01-11 16:00,,,.2,,19
108,서울,2024-01-11 19:00,,,,,19
108,서울,2024-01-11 20:00,,,,,19
108,서울,2024-01-11 21:00,,,,,19
108,서울,2024-01-11 22:00,,,,,19
108,서울,2024-01-11 23:00,,,,,19
108,서울,2024-01-12 00:00,,,,,19
108,서울,2024-01-12 01:00,,,,,19
108,서울,2024-01-12 02:00,,,,,19
108,서울,2024-01-12 03:00,,,,,19
108,서울,2024-01-12 04:00,,,,,19
108,서울,2024-01-12 05:00,,,,,19
108,서울,2024-01-12 06:00,,,,,19
108,서울,2024-01-12 07:00,,,,,19
108,서울,2024-01-12 08:00,,,,,19
108,서울,2024-01-12 09:00,,,,,19
108,서울,2024-01-12 10:00,,,,,19
108,서울,2024-01-12 11:00,,,,,4019
108,서울,2024-01-12 12:00,,,,,40
108,서울,2024-01-12 13:00,,,,,40
108,서울,2024-01-14 12:00,0,,,,01
108,서울,2024-01-14 13:00,,9,,,1901
108,서울,2024-01-14 14:00,,9,,,1901
108,서울,2024-01-14 15:00,3,,,,190601
108,서울,2024-01-14 16:00,,9,,,1901
108,서울,2024-01-14 17:00,,9,,,19
108,서울,2024-01-14 18:00,.1,,,,19
108,서울,2024-01-14 19:00,,9,,,19
108,서울,2024-01-14 20:00,,9,,,19
108,서울,2024-01-14 21:00,,9,,,
108,서울,2024-01-14 22:00,,9,,,
108,서울,2024-01-14 23:00,,9,,,
108,서울,2024-01-15 00:00,,9,,,
108,서울,2024-01-17 11:00,,9,,,05
108,서울,2024-01-17 12:00,.1,,.1,.1,05
108,서울,2024-01-17 13:00,,9,1.3,,05
108,서울,2024-01-17 14:00,,9,2.1,,0605
108,서울,2024-01-17 15:00,3.2,,2,2,0601
108,서울,2024-01-17 16:00,,9,2.3,,0605
108,서울,2024-01-17 17:00,,9,1.9,,190601
108,서울,2024-01-17 18:00,2.4,,1.8,.3,1901
108,서울,2024-01-17 19:00,,9,1.4,,1901
108,서울,2024-01-17 20:00,,9,1.4,,1901
108,서울,2024-01-17 21:00,1.3,,1.4,,1901
108,서울,2024-01-17 22:00,,9,1.2,,1901
108,서울,2024-01-17 23:00,,9,1.2,,191601
108,서울,2024-01-18 00:00,2.7,,1.1,,191601
108,서울,2024-01-18 01:00,,9,1.1,,1901
108,서울,2024-01-18 02:00,,9,.9,,1901
108,서울,2024-01-18 03:00,.5,,.9,,1901
108,서울,2024-01-18 04:00,,9,.9,,19
108,서울,2024-01-18 05:00,,9,.9,,19
108,서울,2024-01-18 06:00,,9,.8,,19
108,서울,2024-01-18 07:00,,9,.8,,19
108,서울,2024-01-18 08:00,,9,.8,,19
108,서울,2024-01-18 09:00,,9,.8,,19
108,서울,2024-01-18 10:00,,9,.7,,19
108,서울,2024-01-18 11:00,,9,.4,,19
108,서울,2024-01-18 12:00,,9,,,19
108,서울,2024-01-18 13:00,,9,,,
108,서울,2024-01-18 14:00,,9,,,
108,서울,2024-01-18 15:00,,9,,,
108,서울,2024-01-18 16:00,,9,,,
108,서울,2024-01-18 17:00,,9,,,
108,서울,2024-01-18 18:00,,9,,,
108,서울,2024-01-18 19:00,,9,,,
108,서울,2024-01-18 20:00,,9,,,
108,서울,2024-01-18 21:00,,9,,,
108,서울,2024-01-18 22:00,,9,,,
108,서울,2024-01-18 23:00,,9,,,
108,서울,2024-01-19 00:00,,9,,,
108,서울,2024-01-20 13:00,,9,,,01
108,서울,2024-01-20 14:00,,9,,,01
108,서울,2024-01-20 15:00,0,,,,01
108,서울,2024-01-20 16:00,,9,,,01
108,서울,2024-01-20 17:00,,9,,,01
108,서울,2024-01-20 18:00,.2,,,,0601
108,서울,2024-01-20 19:00,,9,,,06
108,서울,2024-01-20 20:00,,9,,,06
108,서울,2024-01-20 21:00,.2,,,,06
108,서울,2024-01-20 22:00,,9,,,06
108,서울,2024-01-20 23:00,,9,,,0605
108,서울,2024-01-21 00:00,0,,,,05
108,서울,2024-01-21 04:00,,9,,,05
108,서울,2024-01-21 05:00,,9,,,05
108,서울,2024-01-21 06:00,0,,,,
108,서울,2024-01-21 07:00,,9,,,06
108,서울,2024-01-21 08:00,,9,,,06
108,서울,2024-01-21 09:00,0,,,,
108,서울,2024-01-21 10:00,,9,,,
108,서울,2024-01-21 11:00,,9,,,05
108,서울,2024-01-21 12:00,0,,,,
108,서울,2024-01-21 13:00,,9,,,
108,서울,2024-01-21 14:00,,9,,,0601
108,서울,2024-01-21 15:00,.2,,,,0601
108,서울,2024-01-21 16:00,,9,,,01
108,서울,2024-01-21 17:00,,9,,,01
108,서울,2024-01-21 18:00,.2,,,,01
108,서울,2024-01-21 19:00,,9,,,01
108,서울,2024-01-21 20:00,,9,,,
108,서울,2024-01-21 21:00,0,,,,19
108,서울,2024-01-21 22:00,,9,,,19
108,서울,2024-01-21 23:00,,9,,,1905
108,서울,2024-01-22 00:00,0,,,,1905
108,서울,2024-01-22 01:00,,9,,,05
108,서울,2024-01-22 02:00,,9,,,05
108,서울,2024-01-22 03:00,0,,,,05
108,서울,2024-01-22 04:00,,9,0,,05
108,서울,2024-01-22 05:00,,9,1,,05
108,서울,2024-01-22 06:00,.1,,1.8,1.8,05
108,서울,2024-01-22 07:00,,9,2.3,,05
108,서울,2024-01-22 08:00,,9,2,,05
108,서울,2024-01-22 09:00,.1,,1.9,.5,05
108,서울,2024-01-22 10:00,,9,1.6,,
108,서울,2024-01-22 11:00,,9,1.4,,
108,서울,2024-01-22 12:00,,9,1,,
108,서울,2024-01-22 13:00,,9,.7,,
108,서울,2024-01-22 14:00,,9,.4,,
108,서울,2024-01-22 15:00,,9,.2,,
108,서울,2024-01-22 16:00,,9,.1,,
108,서울,2024-01-22 17:00,,9,,,
108,서울,2024-01-22 18:00,,9,,,
108,서울,2024-01-22 19:00,,9,,,
108,서울,2024-01-22 20:00,,9,,,
108,서울,2024-01-22 21:00,,9,,,
108,서울,2024-01-22 22:00,,9,,,
108,서울,2024-01-22 23:00,,9,,,
108,서울,2024-01-23 00:00,,9,,,
108,서울,2024-01-26 22:00,,,,,19
108,서울,2024-01-26 23:00,,,,,19
108,서울,2024-01-27 00:00,,,,,19
108,서울,2024-01-27 01:00,,,,,19
108,서울,2024-01-27 02:00,,,,,19
108,서울,2024-01-27 03:00,,,,,19
108,서울,2024-01-27 04:00,,,,,19
108,서울,2024-01-27 05:00,,,,,19
108,서울,2024-01-27 07:00,,,,,19
108,서울,2024-01-27 08:00,,,,,19
108,서울,2024-01-27 09:00,,,,,19
108,서울,2024-01-27 22:00,,,,,19
108,서울,2024-01-27 23:00,,,,,19
108,서울,2024-01-28 00:00,,,,,19
108,서울,2024-01-30 02:00,,,,,19
108,서울,2024-01-30 03:00,,,,,19
108,서울,2024-01-30 04:00,,,,,19
108,서울,2024-01-30 05:00,,,,,19
108,서울,2024-01-30 06:00,,,,,19
108,서울,2024-01-30 07:00,,,,,19
108,서울,2024-01-30 08:00,,,,,19
108,서울,2024-01-30 09:00,,,,,19
108,서울,2024-01-30 10:00,,,,,19
108,서울,2024-01-30 11:00,,,,,4019
108,서울,2024-01-30 12:00,,,,,40
108,서울,2024-01-31 20:00,,,,,40
108,서울,2024-01-31 21:00,,,,,40
108,서울,2024-01-31 22:00,,,,,40
108,서울,2024-01-31 23:00,,,,,40
108,서울,2024-02-01 00:00,,,,,40
108,서울,2024-02-01 01:00,,,,,40
108,서울,2024-02-01 02:00,,,,,4019
108,서울,2024-02-01 03:00,,,,,19
108,서울,2024-02-01 04:00,,,,,19
108,서울,2024-02-01 05:00,,,,,19
108,서울,2024-02-01 06:00,,,,,19
108,서울,2024-02-01 07:00,,,,,19
108,서울,2024-02-01 08:00,,,,,19
108,서울,2024-02-01 09:00,,,,,19
108,서울,2024-02-01 10:00,,,,,19
108,서울,2024-02-01 11:00,,,,,4019
108,서울,2024-02-01 12:00,,,,,40
108,서울,2024-02-01 13:00,,,,,40
108,서울,2024-02-01 14:00,,,,,40
108,서울,2024-02-01 15:00,,,,,40
108,서울,2024-02-01 16:00,,,,,40
108,서울,2024-02-01 17:00,,,,,40
108,서울,2024-02-01 18:00,,,,,40
108,서울,2024-02-01 19:00,,,,,40
108,서울,2024-02-01 20:00,,,,,40
108,서울,2024-02-01 21:00,,,,,40
108,서울,2024-02-01 22:00,,,,,40
108,서울,2024-02-02 13:00,,,,,40
108,서울,2024-02-02 14:00,,,,,40
108,서울,2024-02-02 15:00,,,,,40
108,서울,2024-02-02 16:00,,,,,40
108,서울,2024-02-02 17:00,,,,,40
108,서울,2024-02-02 18:00,,,,,40
108,서울,2024-02-02 19:00,,,,,40
108,서울,2024-02-02 20:00,,,,,40
108,서울,2024-02-02 21:00,,,,,40
108,서울,2024-02-02 22:00,,,,,40
108,서울,2024-02-02 23:00,,,,,40
108,서울,2024-02-03 00:00,,,,,4019
108,서울,2024-02-03 01:00,,,,,19
108,서울,2024-02-03 02:00,,,,,19
108,서울,2024-02-03 03:00,,,,,19
108,서울,2024-02-03 04:00,,,,,19
108,서울,2024-02-03 20:00,,9,,,01
108,서울,2024-02-03 21:00,0,,,,01
108,서울,2024-02-03 22:00,,9,,,01
108,서울,2024-02-03 23:00,,9,,,
108,서울,2024-02-04 00:00,0,,,,
108,서울,2024-02-05 02:00,,9,,,01
108,서울,2024-02-05 03:00,1.1,,,,01
108,서울,2024-02-05 04:00,,9,,,01
108,서울,2024-02-05 05:00,,9,,,
108,서울,2024-02-05 06:00,.1,,,,01
108,서울,2024-02-05 07:00,,9,,,01
108,서울,2024-02-05 08:00,,9,,,01
108,서울,2024-02-05 09:00,0,,,,01
108,서울,2024-02-05 10:00,,9,,,01
108,서울,2024-02-05 11:00,,9,,,01
108,서울,2024-02-05 12:00,0,,,,0601
108,서울,2024-02-05 13:00,,9,,,06
108,서울,2024-02-05 14:00,,9,,,06
108,서울,2024-02-05 15:00,0,,,,06
108,서울,2024-02-05 16:00,,9,,,06
108,서울,2024-02-05 17:00,,9,,,0605
108,서울,2024-02-05 18:00,.3,,.8,.8,1905
108,서울,2024-02-05 19:00,,9,1.7,,1905
108,서울,2024-02-05 20:00,,9,2.5,,1905
108,서울,2024-02-05 21:00,2,,3.4,2.6,1905
108,서울,2024-02-05 22:00,,9,3.5,,1905
108,서울,2024-02-05 23:00,,9,3.5,,1905
108,서울,2024-02-06 00:00,.4,,3.6,.2,05
108,서울,2024-02-06 01:00,,9,3.7,,05
108,서울,2024-02-06 02:00,,9,3.8,,05
108,서울,2024-02-06 03:00,.2,,3.8,.2,05
108,서울,2024-02-06 04:00,,9,3.8,,
108,서울,2024-02-06 05:00,,9,3.8,,
